toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,st_rad_err,st_logg_err,st_teff_err,notes,accepted
1521.01,1521,366074069,366074069.01,1,PC,23h47m04.94s,356.770579,,,+69d02m58.28s,69.049522,,,-6.51,0.044,-0.044,0.0,1.0,-11.243,0.042,-0.042,0.0,1.0,2458768.08864,0.00071,-0.00071,0,1,4.18106,0.00012,-0.00012,0,1,4.574,0.084,-0.084,0,1,5180.0,0.24544,-0.24544,0,1,16.9776,0.813943,-0.813943,0,1,1085.44,,,,,1599.0,,,,,9.78876,0.006,-0.006,0,1,317.752,2.623,-2.623,0,1,6146.0,188.9,-188.9,0,1,3.78,0.09,-0.09,0,1,2.31,0.11,-0.11,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.11,0.09,188.9,,True
1536.01,1536,445137888,445137888.01,1,PC,00h45m12.58s,11.3024,,,+56d04m12.21s,56.070058,,,-0.129,0.082,-0.082,0.0,1.0,-1.659,0.086,-0.086,0.0,1.0,2458765.06744,0.00596,-0.00596,0,1,2.0139,0.00032,-0.00032,0,1,1.661,0.285,-0.285,0,1,690.0,2.8285,-2.8285,0,1,7.37031,0.864438,-0.864438,0,1,5884.18,,,,,2439.0,,,,,10.3654,0.033,-0.033,0,1,795.905,74.344,-74.344,0,1,10310.0,617.1,-617.1,0,1,4.01,0.1,-0.1,0,1,2.68,0.26,-0.26,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.26,0.1,617.1,,True
1546.01,1546,194203348,194203348.01,1,PC,00h04m47.24s,1.196825,,,+41d35m37.97s,41.59388,,,-23.294,0.134,-0.134,0.0,1.0,-29.277,0.083,-0.083,0.0,1.0,2458764.83324,0.00821,-0.00821,0,1,1.13345,0.0006,-0.0006,0,1,1.894,0.435,-0.435,0,1,490.0,1.8831,-1.8831,0,1,3.03424,0.268139,-0.268139,0,1,3611.25,,,,,2159.0,,,,,9.87731,0.006,-0.006,0,1,210.101,5.846,-5.846,0,1,6223.0,106.3,-106.3,0,1,4.23,0.08,-0.08,0,1,1.4,0.08,-0.08,0,1,2019-12-05 21:41:10,2021-10-29 12:59:15,0.08,0.08,106.3,,True
1551.01,1551,288348498,288348498.01,1,PC,01h18m48.09s,19.700387,,,+41d30m22s,41.506112,,,-11.252,0.069,-0.069,0.0,1.0,-16.638,0.076,-0.076,0.0,1.0,2458765.11138,0.00229,-0.00229,0,1,1.67546,0.00029,-0.00029,0,1,1.202,0.196,-0.196,0,1,1250.0,2.65702,-2.65702,0,1,6.44889,0.417778,-0.417778,0,1,855.787,,,,,1506.0,,,,,9.967,0.008,-0.008,0,1,313.229,5.0305,-5.0305,0,1,6745.5,110.1,-110.1,0,1,4.09,0.09,-0.09,0,1,1.78,0.07,-0.07,0,1,2019-12-05 21:41:11,2021-10-29 12:59:15,0.07,0.09,110.1,,True
1559.01,1559,241040309,241040309.01,1,PC,01h22m52.18s,20.717398,,,+48d57m19.31s,48.955364,,,3.798,0.085,-0.085,0.0,1.0,-6.27,0.09,-0.09,0.0,1.0,2458764.93926,0.00317,-0.00317,0,1,3.46479,0.00043,-0.00043,0,1,1.009,0.311,-0.311,0,1,1150.0,8.35472,-8.35472,0,1,9.20223,0.922291,-0.922291,0,1,387.778,,,,,1236.0,,,,,10.3978,0.009,-0.009,0,1,685.251,26.3785,-26.3785,0,1,8455.3,109.4,-109.4,0,1,3.95,0.08,-0.08,0,1,2.54,0.12,-0.12,0,1,2019-12-19 20:58:20,2021-10-29 12:59:15,0.12,0.08,109.4,,True
1560.01,1560,241076290,241076290.01,1,PC,01h56m07.89s,29.032856,,,+52d35m07.74s,52.585482,,,3.483,0.119,-0.119,0.0,1.0,-4.865,0.139,-0.139,0.0,1.0,2458790.84795,0.00147,-0.00147,0,1,0.25792,3e-05,-3e-05,0,1,0.475,0.149,-0.149,0,1,950.0,18.3704,-18.3704,0,1,8.51808,1.06722,-1.06722,0,1,46846.6,,,,,4098.0,,,,,10.1942,0.007,-0.007,0,1,560.222,22.793,-22.793,0,1,9035.0,204.2,-204.2,0,1,4.16,0.08,-0.08,0,1,2.09,0.1,-0.1,0,1,2019-12-19 20:58:20,2021-10-29 12:59:15,0.1,0.08,204.2,,True
1581.01,1581,370759867,370759867.01,1,PC,01h52m39.25s,28.16355,,,+55d11m09.5s,55.185971,,,44.517,0.084,-0.084,0.0,1.0,-14.626,0.09,-0.09,0.0,1.0,2458810.30671,,,0,1,,,,0,1,4.23,0.253,-0.253,0,1,8410.0,2787.44,-2787.44,0,1,18.6201,5.67282,-5.67282,0,1,,,,,,,,,,,9.76978,0.006,-0.006,0,1,124.547,0.631,-0.631,0,1,5865.0,139.6,-139.6,0,1,4.49,0.08,-0.08,0,1,0.97,0.05,-0.05,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.05,0.08,139.6,,True
1593.01,1593,192372961,192372961.01,1,PC,03h02m23.61s,45.598372,,,+43d11m01.69s,43.183802,,,10.679,0.074,-0.074,0.0,1.0,-11.741,0.067,-0.067,0.0,1.0,2458792.29644,0.00617,-0.00617,0,1,2.06313,0.00099,-0.00099,0,1,2.157,0.485,-0.485,0,1,600.0,2.56623,-2.56623,0,1,11.9118,0.988067,-0.988067,0,1,1866.39,,,,,1831.0,,,,,9.1222,0.007,-0.007,0,1,550.183,12.998,-12.998,0,1,6716.5,99.8,-99.8,0,1,3.24,0.09,-0.09,0,1,4.77,0.21,-0.21,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.21,0.09,99.8,,True
1596.01,1596,431899140,431899140.01,1,PC,03h44m53.41s,56.222542,,,+45d30m25.88s,45.507188,,,-0.869,0.123,-0.123,0.0,1.0,-0.576,0.086,-0.086,0.0,1.0,2458792.20585,0.00381,-0.00381,0,1,1.97656,0.0007,-0.0007,0,1,3.102,0.758,-0.758,0,1,1120.0,4.88661,-4.88661,0,1,13.6974,1.24199,-1.24199,0,1,24091.5,,,,,3470.0,,,,,10.0888,0.02,-0.02,0,1,710.919,26.476,-26.476,0,1,7962.9,130.5,-130.5,0,1,3.6,0.1,-0.1,0,1,3.62,0.23,-0.23,0,1,2019-12-19 20:58:21,2021-10-29 12:59:15,0.23,0.1,130.5,,True
1602.01,1602,129991079,129991079.01,1,PC,02h28m31.78s,37.13241,,,+40d53m28.51s,40.891254,,,18.147,0.083,-0.083,0.0,1.0,-24.997,0.076,-0.076,0.0,1.0,2458792.50412,0.01002,-0.01002,0,1,6.15952,0.00486,-0.00486,0,1,3.834,0.887,-0.887,0,1,1230.0,5.42282,-5.42282,0,1,3.90515,0.327005,-0.327005,0,1,487.519,,,,,1309.0,,,,,10.4375,0.006,-0.006,0,1,208.771,3.0245,-3.0245,0,1,6175.9,111.3,-111.3,0,1,4.44,0.08,-0.08,0,1,1.09,0.05,-0.05,0,1,2019-12-19 20:58:22,2021-10-29 12:59:15,0.05,0.08,111.3,,True
1605.01,1605,101037590,101037590.01,1,PC,03h37m55.41s,54.48089,,,+33d04m47.63s,33.079897,,,-40.365,0.106,-0.106,0.0,1.0,8.767,0.062,-0.062,0.0,1.0,2458798.7416,0.00122,-0.00122,0,1,8.70769,0.00143,-0.00143,0,1,2.745,0.304,-0.304,0,1,4920.0,5.685,-5.685,0,1,12.8676,0.796009,-0.796009,0,1,191.458,,,,,1036.0,,,,,9.62924,0.006,-0.006,0,1,159.748,1.5125,-1.5125,0,1,5597.0,146.5,-146.5,0,1,4.03,0.08,-0.08,0,1,1.59,0.08,-0.08,0,1,2019-12-19 20:58:22,2021-10-29 12:59:15,0.08,0.08,146.5,,True
1655.01,1655,266500992,266500992.01,1,PC,04h04m41.34s,61.172234,,,+52d15m25.17s,52.256992,,,5.89,0.071,-0.071,0.0,1.0,-16.735,0.048,-0.048,0.0,1.0,2458819.70953,0.00524,-0.00524,0,1,3.27767,0.00135,-0.00135,0,1,3.071,0.488,-0.488,0,1,1050.0,2.581,-2.581,0,1,3.67705,0.289268,-0.289268,0,1,573.692,,,,,1363.0,,,,,10.3309,0.006,-0.006,0,1,165.314,0.987,-0.987,0,1,5411.0,153.9,-153.9,0,1,4.29,0.09,-0.09,0,1,1.15,0.06,-0.06,0,1,2020-01-29 22:18:55,2021-10-29 12:59:15,0.06,0.09,153.9,,True
1658.01,1658,286561122,286561122.01,1,PC,04h23m30.29s,65.876229,,,+35d29m42.39s,35.495109,,,-2.883,0.124,-0.124,0.0,1.0,-12.716,0.08,-0.08,0.0,1.0,2458817.94441,0.00457,-0.00457,0,1,0.67994,0.00033,-0.00033,0,1,1.907,0.339,-0.339,0,1,670.0,1.64684,-1.64684,0,1,7.85887,0.6263,-0.6263,0,1,18638.5,,,,,3255.0,,,,,10.2674,0.006,-0.006,0,1,506.864,12.112,-12.112,0,1,7325.5,136.6,-136.6,0,1,3.71,0.09,-0.09,0,1,2.98,0.18,-0.18,0,1,2020-01-29 22:18:55,2021-10-29 12:59:15,0.18,0.09,136.6,,True
1675.01,1675,81831095,81831095.01,1,PC,03h11m13.59s,47.806635,,,+61d45m44.59s,61.762385,,,-3.246,0.043,-0.043,0.0,1.0,-1.418,0.053,-0.053,0.0,1.0,2458794.77733,0.00166,-0.00166,0,1,3.13282,0.00027,-0.00027,0,1,0.843,0.088,-0.088,0,1,1130.0,2.43645,-2.43645,0,1,7.37696,0.429936,-0.429936,0,1,156.974,,,,,986.0,,,,,9.9944,0.024,-0.024,0,1,399.401,5.3,-5.3,0,1,7478.0,216.5,-216.5,0,1,4.05,0.08,-0.08,0,1,2.06,0.07,-0.07,0,1,2020-01-29 22:18:56,2021-10-29 12:59:15,0.07,0.08,216.5,,True
1677.01,1677,87090944,87090944.01,1,PC,03h53m56.78s,58.486586,,,+58d58m05.88s,58.9683,,,73.759,0.108,-0.108,0.0,1.0,-68.847,0.113,-0.113,0.0,1.0,2458818.20905,0.00224,-0.00224,0,1,0.64367,0.00012,-0.00012,0,1,0.548,0.19,-0.19,0,1,800.0,15.7615,-15.7615,0,1,5.09039,0.718296,-0.718296,0,1,1438.63,,,,,1715.0,,,,,10.1089,0.006,-0.006,0,1,197.14,2.989,-2.989,0,1,5919.7,109.0,-109.0,0,1,4.12,0.08,-0.08,0,1,1.49,0.09,-0.09,0,1,2020-01-29 22:18:56,2021-10-29 12:59:15,0.09,0.08,109.0,,True
1701.01,1701,274215536,274215536.01,1,PC,06h39m35.57s,99.898189,,,+42d07m52.82s,42.131339,,,7.743,0.066,-0.066,0.0,1.0,-53.417,0.059,-0.059,0.0,1.0,2458843.37293,0.00208,-0.00208,0,1,1.33418,0.00021,-0.00021,0,1,1.115,0.308,-0.308,0,1,2470.0,9.41862,-9.41862,0,1,4.94538,0.439061,-0.439061,0,1,470.116,,,,,1297.0,,,,,10.9263,0.006,-0.006,0,1,123.643,0.71,-0.71,0,1,4685.1,111.6,-111.6,0,1,4.42,0.09,-0.09,0,1,0.88,0.06,-0.06,0,1,2020-02-19 00:44:40,2021-10-29 12:59:15,0.06,0.09,111.6,,True
1954.01,1954,466113537,466113537.01,1,PC,11h00m07.99s,165.033297,,,-59d58m42.27s,-59.978409,,,-22.482,0.045,-0.045,0.0,1.0,1.368,0.044,-0.044,0.0,1.0,2458572.59809,0.00879,-0.00879,0,1,4.90427,0.0016,-0.0016,0,1,5.259,0.832,-0.832,0,1,1600.0,5.1462,-5.1462,0,1,7.86596,0.594258,-0.594258,0,1,2027.06,,,,,1869.0,,,,,8.9718,0.006,-0.006,0,1,232.276,1.5305,-1.5305,0,1,7119.5,299.0,-299.0,0,1,4.14,0.36,-0.36,0,1,1.98,0.08,-0.08,0,1,2020-06-17 17:40:44,2021-10-29 12:59:15,0.08,0.36,299.0,,True
2026.01,2026,407059875,407059875.01,1,PC,00h21m52.69s,5.469534,,,+66d10m05.23s,66.168119,,,-47.349,0.046,-0.046,0.0,1.0,-11.911,0.038,-0.038,0.0,1.0,2458768.29024,0.00474,-0.00474,0,1,7.1924,0.00027,-0.00027,0,1,2.732,0.391,-0.391,0,1,810.0,1.83316,-1.83316,0,1,2.27368,0.180461,-0.180461,0,1,72.3112,,,,,812.0,,,,,10.5782,0.006,-0.006,0,1,108.076,0.3155,-0.3155,0,1,5050.0,146.8,-146.8,0,1,4.59,0.09,-0.09,0,1,0.77,0.05,-0.05,0,1,2020-06-19 07:20:03,2021-10-29 12:59:15,0.05,0.09,146.8,,True
2033.01,2033,53617134,53617134.01,1,PC,01h10m43.22s,17.680098,,,+65d14m58.73s,65.249648,,,24.971,0.045,-0.045,0.0,1.0,-2.555,0.046,-0.046,0.0,1.0,2458794.6827,0.00243,-0.00243,0,1,18.8238,0.00033,-0.00033,0,1,4.806,0.276,-0.276,0,1,2360.0,1.02517,-1.02517,0,1,9.62606,0.426547,-0.426547,0,1,109.162,,,,,900.0,,,,,9.46221,0.006,-0.006,0,1,281.184,2.458,-2.458,0,1,7014.0,163.9,-163.9,0,1,4.05,0.09,-0.09,0,1,1.95,0.07,-0.07,0,1,2020-06-19 07:20:03,2021-10-29 12:59:15,0.07,0.09,163.9,,True
2036.01,2036,368320811,368320811.01,1,PC,15h32m03.58s,233.014923,,,+24d05m06.06s,24.085016,,,-17.558,0.042,-0.042,0.0,1.0,15.161,0.037,-0.037,0.0,1.0,2458981.359291,0.003629,-0.003629,0,1,1.2583329,0.0003927,-0.0003927,0,1,1.17,0.304,-0.304,0,1,440.0,2.6534,-2.6534,0,1,4.91523,0.444234,-0.444234,0,1,1480.01,,,,,1727.0,,,,,8.97913,0.006,-0.006,0,1,231.827,1.6665,-1.6665,0,1,6549.0,134.3,-134.3,0,1,3.89,0.09,-0.09,0,1,2.18,0.09,-0.09,0,1,2020-06-19 07:20:03,2022-06-24 16:02:01,0.09,0.09,134.3,,True
2060.01,2060,285542903,285542903.01,1,PC,00h53m04.81s,13.27005,,,+60d37m05.2s,60.618112,,,2.884,0.053,-0.053,0.0,1.0,-1.087,0.055,-0.055,0.0,1.0,2458766.82506,0.00718,-0.00718,0,1,2.26584,0.00013,-0.00013,0,1,2.833,0.379,-0.379,0,1,430.0,0.899966,-0.899966,0,1,7.79082,0.544054,-0.544054,0,1,11752.6,,,,,2900.0,,,,,9.8722,0.023,-0.023,0,1,914.062,34.852,-34.852,0,1,10125.0,419.5,-419.5,0,1,3.62,0.07,-0.07,0,1,4.14,0.18,-0.18,0,1,2020-06-19 07:20:04,2021-10-29 12:59:15,0.18,0.07,419.5,,True
2341.01,2341,100267480,100267480.01,1,PC,20h27m22.45s,306.843521,,,-53d13m14.35s,-53.220653,,,45.658,0.051,-0.051,0.0,1.0,-10.599,0.041,-0.041,0.0,1.0,2458681.75145,0.00097,-0.00097,0,1,0.87741,6e-05,-6e-05,0,1,0.472,0.055,-0.055,0,1,12050.0,32.5226,-32.5226,0,1,8.59148,0.463846,-0.463846,0,1,26.3008,,,,,630.0,,,,,12.722,0.008,-0.008,0,1,121.433,0.57,-0.57,0,1,3495.0,157.0,-157.0,0,1,4.64,0.01,-0.01,0,1,0.62,0.02,-0.02,0,1,2020-10-23 19:58:26,2021-10-29 12:59:15,0.02,0.01,157.0,,True
2350.01,2350,47601197,47601197.01,1,PC,06h29m37.95s,97.408122,,,-21d59m39.79s,-21.994385,,,-5.328,0.024,-0.024,0.0,1.0,-9.006,0.045,-0.045,0.0,1.0,2458476.588785,0.001864,-0.001864,0,1,8.6251769,0.0026704,-0.0026704,0,1,2.704,0.528,-0.528,0,1,1690.0,10.4777,-10.4777,0,1,7.55444,0.550065,-0.550065,0,1,161.98,,,,,993.0,,,,,10.6477,0.006,-0.006,0,1,185.506,1.006,-1.006,0,1,5484.0,123.9,-123.9,0,1,4.35,0.08,-0.08,0,1,1.08,0.06,-0.06,0,1,2020-10-23 19:58:28,2021-10-29 12:59:15,0.06,0.08,123.9,,True
2395.01,2395,144124187,144124187.01,1,PC,11h43m31.05s,175.879369,,,-07d17m45.93s,-7.296091,,,-0.528,0.07,-0.07,0.0,1.0,-0.247,0.038,-0.038,0.0,1.0,2459573.959999,0.001266,-0.001266,0,1,15.7373186,1.27e-05,-1.27e-05,0,1,3.993,0.153,-0.153,0,1,10720.0,2.20471,-2.20471,0,1,12.2054,0.602544,-0.602544,0,1,263.429,,,,,1122.0,,,,,11.7622,0.007,-0.007,0,1,413.22,6.3595,-6.3595,0,1,6394.0,125.5,-125.5,0,1,4.43,0.09,-0.09,0,1,1.14,0.05,-0.05,0,1,2020-11-24 20:52:12,2022-03-11 10:10:02,0.05,0.09,125.5,,True
2533.01,2533,418012030,418012030.01,1,PC,14h10m33.31s,212.638797,,,+26d25m24.35s,26.42343,,,-14.0,0.048,-0.048,0.0,1.0,19.171,0.061,-0.061,0.0,1.0,2459682.185785,0.001691,-0.001691,0,1,6.6857865,1.81e-05,-1.81e-05,0,1,2.896,0.157,-0.157,0,1,6690.0,2.36039,-2.36039,0,1,9.65352,0.454536,-0.454536,0,1,171.835,,,,,1008.0,,,,,11.6417,0.007,-0.007,0,1,368.409,4.501,-4.501,0,1,6144.3,105.0,-105.0,0,1,4.4,0.08,-0.08,0,1,1.13,0.05,-0.05,0,1,2021-03-02 22:57:48,2022-09-08 10:10:02,0.05,0.08,105.0,,True
2578.01,2578,104986789,104986789.01,1,PC,04h32m12.5s,68.052102,,,+52d15m09.56s,52.252655,,,4.401,0.064,-0.064,0.0,1.0,-33.767,0.043,-0.043,0.0,1.0,2458839.509702,0.000833,-0.000833,0,1,3.4577316,0.0001968,-0.0001968,0,1,2.42,0.306,-0.306,0,1,9820.0,10.6159,-10.6159,0,1,13.7261,0.904178,-0.904178,0,1,1037.81,,,,,1581.0,,,,,10.5863,0.006,-0.006,0,1,285.53,3.476,-3.476,0,1,6427.8,105.1,-105.1,0,1,4.35,0.09,-0.09,0,1,1.27,0.07,-0.07,0,1,2021-03-18 22:24:56,2022-07-20 12:03:42,0.07,0.09,105.1,,True
2580.01,2580,102713734,102713734.01,1,PC,04h08m47.81s,62.199207,,,+67d06m59.49s,67.116526,,,10.767,0.032,-0.032,0.0,1.0,-5.174,0.047,-0.047,0.0,1.0,2458839.453257,0.000668,-0.000668,0,1,3.397862,0.0001937,-0.0001937,0,1,4.502,0.126,-0.126,0,1,9960.0,0.92863,-0.92863,0,1,18.3834,0.865094,-0.865094,0,1,2031.47,,,,,1870.0,,,,,10.8064,0.006,-0.006,0,1,379.253,4.518,-4.518,0,1,6590.0,230.5,-230.5,0,1,4.05,0.1,-0.1,0,1,1.83,0.08,-0.08,0,1,2021-03-18 22:24:56,2021-10-29 12:59:15,0.08,0.1,230.5,,True
2649.01,2649,230980206,230980206.01,1,PC,01h36m02.24s,24.009341,,,-55d47m37.63s,-55.793785,,,8.512,0.03,-0.03,0.0,1.0,0.255,0.031,-0.031,0.0,1.0,2458377.753706,0.00116,-0.00116,0,1,3.375591,0.0003311,-0.0003311,0,1,3.489,0.183,-0.183,0,1,11630.0,4.01206,-4.01206,0,1,13.2361,0.657366,-0.657366,0,1,1112.75,,,,,1609.0,,,,,12.4752,0.006,-0.006,0,1,626.504,9.0525,-9.0525,0,1,6408.0,132.3,-132.3,0,1,4.38,0.09,-0.09,0,1,1.22,0.06,-0.06,0,1,2021-05-04 20:03:20,2022-09-20 12:02:43,0.06,0.09,132.3,,True
2784.01,2784,302766000,302766000.01,1,PC,05h31m30.83s,82.878464,,,+15d46m16.8s,15.771332,,,-3.812,0.07,-0.07,0.0,1.0,-6.652,0.049,-0.049,0.0,1.0,2458489.661734,0.002382,-0.002382,0,1,0.2571432,5.03e-05,-5.03e-05,0,1,0.362,0.134,-0.134,0,1,1940.0,87.6813,-87.6813,0,1,7.20948,1.19637,-1.19637,0,1,1913.57,,,,,1842.0,,,,,12.428,0.006,-0.006,0,1,392.4,5.2225,-5.2225,0,1,5784.0,638.4,-638.4,0,1,4.38,0.15,-0.15,0,1,1.09,0.06,-0.06,0,1,2021-06-03 22:07:27,2021-10-29 12:59:15,0.06,0.15,638.4,,True
2790.01,2790,247518629,247518629.01,1,PC,05h43m52.13s,85.967216,,,+16d21m36.23s,16.360063,,,0.877,0.09,-0.09,0.0,1.0,-1.763,0.071,-0.071,0.0,1.0,2459547.210084,0.000512,-0.000512,0,1,2.3341583,2.8e-06,-2.8e-06,0,1,3.553,0.084,-0.084,0,1,10070.0,0.770823,-0.770823,0,1,20.0937,1.09728,-1.09728,0,1,3201.05,,,,,2095.0,,,,,12.273,0.016,-0.016,0,1,832.581,30.865,-30.865,0,1,6901.0,157.7,-157.7,0,1,4.04,0.09,-0.09,0,1,1.93,0.1,-0.1,0,1,2021-06-03 22:07:28,2022-03-11 10:10:02,0.1,0.09,157.7,,True
2791.01,2791,237406657,237406657.01,1,PC,06h24m41.5s,96.172915,,,-36d55m45.22s,-36.929228,,,-3.844,0.021,-0.021,0.0,1.0,7.948,0.022,-0.022,0.0,1.0,2458515.618118,0.003339,-0.003339,0,1,3.7482756,0.0005589,-0.0005589,0,1,4.989,0.319,-0.319,0,1,5010.0,2.55201,-2.55201,0,1,14.0065,0.7336,-0.7336,0,1,2004.64,,,,,1864.0,,,,,12.7587,0.006,-0.006,0,1,1148.8,16.46,-16.46,0,1,6425.0,136.4,-136.4,0,1,3.94,0.09,-0.09,0,1,2.02,0.09,-0.09,0,1,2021-06-03 22:07:28,2021-10-29 12:59:15,0.09,0.09,136.4,,True
